norad_id,mass_kg,size_cm,source_event
800,4934.721123020014,140.97462712095745,Deployed Object
801,2035.671057177471,120.77846370694142,Fragmentation
802,1517.250414980094,89.04219752532661,Deployed Object
803,4129.0272802793515,153.61796766507032,Collision
804,4387.667954628544,176.80791101427067,Fragmentation
805,262.4968043686339,47.351225809638116,Fragmentation
806,3099.689760012345,89.96116040854953,Fragmentation
807,3094.631890075184,93.60323815188507,Fragmentation
808,2788.471899465643,89.73732518137093,Fragmentation
809,3077.005338483951,177.66974092213604,Fragmentation
810,1520.6535785790077,157.13726108623771,Collision
811,2765.8088400622623,160.1373443955603,Collision
812,726.5143562818024,182.26986767668959,Fragmentation
813,4636.792982861074,144.62932190810716,Deployed Object
814,1906.88214863111,128.25697904836,Deployed Object
815,785.8553599725049,171.6525703634359,Fragmentation
816,3013.3295690124914,176.9093377936983,Deployed Object
817,1159.0188890620213,36.234867583166576,Fragmentation
818,543.9424158675286,57.27715892098871,Fragmentation
819,1683.9187837977797,46.223528401857706,Collision
820,2911.0348473265585,80.56301528573157,Deployed Object
821,1996.613794213475,111.67230573744823,Fragmentation
822,3205.7028349577104,55.53031606346128,Fragmentation
823,2677.571217254741,197.71271630705826,Deployed Object
824,4271.493832365786,87.70025472919667,Deployed Object
825,4786.417258621172,107.40045692860807,Deployed Object
826,2440.0578542563917,172.88095649188588,Fragmentation
827,4078.6994744476224,79.19447570718108,Fragmentation
828,4741.005567194392,30.302607237645237,Collision
829,4099.542502279823,134.42854186651152,Collision
830,3916.7856071601036,172.68308641610884,Deployed Object
831,285.10137761019047,151.1836250114357,Fragmentation
832,3337.2215527544895,162.25959774443132,Deployed Object
833,3124.996482459775,89.01364172173237,Fragmentation
834,4674.9730983566615,94.49179654212449,Fragmentation
835,1364.2753327384007,177.42073522672732,Fragmentation
836,4523.937323480445,121.88014845573562,Deployed Object
837,3760.5203056255746,192.71609252519923,Fragmentation
838,3869.717810707833,128.18275060645203,Fragmentation
839,3895.055761844907,35.52456397785673,Deployed Object
840,3234.7384823947973,141.89625273477202,Deployed Object
841,4174.086763326234,199.8832384027862,Collision
842,2557.453235519815,27.66885473165005,Fragmentation
843,2624.6620376827655,193.00939248792423,Fragmentation
844,1016.8622227552468,20.895780107624073,Deployed Object
845,460.3150189771957,73.3229458923986,Deployed Object
846,1649.4150004560672,186.11166444045085,Fragmentation
847,968.7987666508506,140.16445779709522,Fragmentation
848,130.48803314410915,113.23799567035535,Fragmentation
849,4591.306284943237,31.51456594083707,Collision
850,4644.6831770851495,22.791319106865338,Collision
851,782.2195409381044,29.391806222129333,Collision
852,1009.0097971569467,145.0229240231293,Collision
853,4667.832777195186,91.81766098824504,Fragmentation
854,1780.3750760901926,103.95145855402673,Deployed Object
855,354.8698256194762,38.22835412159079,Deployed Object
856,1658.3345262310606,68.22416823906656,Deployed Object
857,4905.019205243775,164.6474185294365,Deployed Object
858,2538.218859707242,104.61441852087253,Deployed Object
859,496.58914356021603,32.58701699905117,Fragmentation
860,599.3063734007285,128.75604798379584,Deployed Object
861,4295.301644477559,159.3913007841534,Deployed Object
862,4946.982364241565,69.0004936511773,Collision
863,523.6054855685168,112.7084209834815,Deployed Object
864,1087.6548490294908,11.949077769797503,Collision
865,4491.464594371715,132.81762318929782,Collision
866,4020.1308513597505,148.5387230199038,Collision
867,2235.4034621627657,69.05100234754673,Collision
868,4424.740310945802,185.90317332412866,Collision
869,4078.5660778246393,46.2013392017214,Fragmentation
870,2328.6927985336833,65.26740483558802,Fragmentation
871,4521.842174078999,174.22029828025478,Deployed Object
872,1615.7787407168548,15.579733606478769,Fragmentation
873,318.90305169443906,147.5349610850621,Collision
874,1452.5035883931796,163.32783516106693,Deployed Object
875,4019.901958727381,105.58781262498819,Fragmentation
876,1792.3990351623497,55.56493381849261,Collision
877,3657.306026624692,38.715246649003504,Deployed Object
878,3086.7923476660544,21.158246043765274,Collision
879,3313.424006886735,196.30869188071122,Fragmentation
880,3509.3172993655908,146.28189103100095,Deployed Object
881,2637.545738343198,118.41548390732707,Collision
882,3231.4368696542474,45.43929426023231,Deployed Object
883,1846.6820575335282,118.31715991965568,Deployed Object
884,2488.8869118911007,76.93650400557722,Fragmentation
885,4663.129027406085,118.53156427003974,Fragmentation
886,1859.5255174038848,173.81826060380573,Fragmentation
887,4747.25370358565,16.65002563053103,Fragmentation
888,2272.7756799922395,58.40933095151708,Fragmentation
889,831.5293508893351,57.07440951591033,Deployed Object
890,38.55614861217616,53.191570479720426,Collision
891,1241.8676973700674,195.5227494278565,Collision
892,4102.634034780217,26.337819560805865,Collision
893,1250.395610466229,152.32873102907888,Deployed Object
894,556.0548779398811,137.47650725786045,Fragmentation
895,516.0548510522052,174.2563465048781,Deployed Object
896,817.9323440594188,157.947081766293,Deployed Object
897,4206.966015638598,198.16265942841144,Fragmentation
898,711.9589377073878,19.716785315197548,Deployed Object
899,1890.782142104953,135.1131199232264,Collision
900,2536.9272701557147,64.91334188756237,Collision
901,1490.433352860299,192.1087411395349,Fragmentation
902,4211.0595758534355,186.3896691549667,Fragmentation
903,1109.616428439077,34.13992055590815,Collision
904,222.1220262312257,194.97537124985402,Fragmentation
