name,risk_level,latitude,longitude
CALSPHERE 1,5,-90,22
,1,84,-180
CALSPHERE 2,2,-90,46
,1,-9,-180
LCS 1,2,-90,-62
,1,-44,-180
TEMPSAT 1,5,-90,-134
,1,38,-180
CALSPHERE 4A,1,-90,55
,1,83,-180
OPS 5712 (P/L 160),4,-90,-57
,1,56,-180
LES-5,1,-90,58
,1,7,-180
SURCAL 159,1,-90,-8
,1,-28,-180
OPS 5712 (P/L 153),2,-90,55
,1,17,-180
SURCAL 150B,4,-90,-91
,1,-59,-180
OPS 3811 (DSP 2),4,-90,-123
,1,64,-180
RIGIDSPHERE 2 (LCS 4),2,-90,-6
,1,10,-180
OSCAR 7 (AO-7),2,-90,81
,1,18,-180
STARLETTE,1,-90,-69
,1,-28,-180
LAGEOS 1,5,-90,59
,1,1,-180
OPS 8701 (DSP 10),3,-90,-180
,1,45,-180
PHASE 3B (AO-10),1,-90,-178
,1,20,-180
UOSAT 2 (UO-11),5,-90,36
,1,-62,-180
AJISAI (EGS),4,-90,-68
,1,-77,-180
TDRS 3,4,-90,146
,1,80,-180
COSMOS 1989 (ETALON 1),3,-90,151
,1,12,-180
COSMOS 2024 (ETALON 2),1,-90,-28
,1,-35,-180
FLTSATCOM 8 (USA 46),2,-90,134
,1,-84,-180
LUSAT (LO-19),5,-90,39
,1,-28,-180
HST,1,-90,-123
,1,-34,-180
SKYNET 4C,4,-90,77
,1,-20,-180
USA 65 (DSP 15),3,-90,177
,1,84,-180
TDRS 5,1,-90,-164
,1,57,-180
USA 75 (DSP 16),3,-90,138
,1,32,-180
LAGEOS 2,4,-90,121
,1,-23,-180
TDRS 6,4,-90,19
,1,-65,-180
SCD 1,1,-90,-16
,1,74,-180
UFO 2 (USA 95),4,-90,179
,1,62,-180
STELLA,5,-90,-104
,1,60,-180
EYESAT A (AO-27),3,-90,81
,1,-13,-180
ITAMSAT (IO-26),2,-90,-149
,1,-60,-180
USA 99 (MILSTAR-1 1),5,-90,-49
,1,-42,-180
RADIO ROSTO (RS-15),1,-90,-171
,1,68,-180
UFO 4 (USA 108),2,-90,110
,1,7,-180
TDRS 7,2,-90,141
,1,-89,-180
USA 115 (MILSTAR-1 2),1,-90,2
,1,-49,-180
POLAR,3,-90,146
,1,46,-180
INMARSAT 3-F1,3,-90,-108
,1,-38,-180
USA 119,2,-90,-54
,1,70,-180
JAS-2 (FO-29),2,-90,25
,1,22,-180
INMARSAT 3-F2,4,-90,-3
,1,-14,-180
INMARSAT 3-F3,4,-90,92
,1,0,-180
NAVSTAR 43 (USA 132),1,-90,153
,1,-58,-180
FORTE,3,-90,-141
,1,-27,-180
AMC-3,1,-90,65
,1,-38,-180
USA 134,1,-90,76
,1,33,-180
ORBCOMM FM06,4,-90,86
,1,-46,-180
INMARSAT 3-F5,5,-90,49
,1,-5,-180
ORBCOMM FM04,5,-90,149
,1,-5,-180
CELESTIS-02 & TAURUS R/B,3,-90,-27
,1,-77,-180
NOAA 15,5,-90,-168
,1,-62,-180
TECHSAT 1B (GO-32),2,-90,96
,1,40,-180
ORBCOMM FM19,4,-90,-100
,1,85,-180
ORBCOMM FM20,4,-90,70
,1,66,-180
ORBCOMM FM27,4,-90,-77
,1,16,-180
SCD 2,2,-90,38
,1,26,-180
ISS (ZARYA),1,-90,39
,1,-29,-180
SWAS,1,-90,-9
,1,73,-180
SKYNET 4E,5,-90,133
,1,50,-180
DLR-TUBSAT,4,-90,173
,1,-65,-180
CXO,2,-90,139
,1,68,-180
ABS-6,5,-90,-162
,1,-8,-180
NAVSTAR 46 (USA 145),1,-90,-68
,1,42,-180
UFO 10 (USA 146),3,-90,35
,1,-44,-180
ORBCOMM FM32,3,-90,-126
,1,-78,-180
XMM-NEWTON,3,-90,78
,1,47,-180
TERRA,4,-90,29
,1,70,-180
USA 148,2,-90,-110
,1,81,-180
ASIASTAR,3,-90,-17
,1,-66,-180
IMAGE,3,-90,92
,1,61,-180
USA 149 (DSP 20),4,-90,6
,1,3,-180
NAVSTAR 47 (USA 150),5,-90,-8
,1,-32,-180
TDRS 8,3,-90,-47
,1,65,-180
NAVSTAR 48 (USA 151),4,-90,61
,1,20,-180
CLUSTER II-FM7 (SAMBA),4,-90,45
,1,-8,-180
INTELSAT 9 (IS-9),5,-90,-133
,1,61,-180
CLUSTER II-FM5 (RUMBA),4,-90,23
,1,-50,-180
CLUSTER II-FM8 (TANGO),1,-90,-150
,1,42,-180
NSS-11,4,-90,95
,1,-71,-180
USA 153,4,-90,155
,1,-82,-180
AMC-6,4,-90,17
,1,-89,-180
NAVSTAR 49 (USA 154),3,-90,169
,1,-20,-180
ODIN,3,-90,46
,1,-41,-180
USA 157 (MILSTAR-2 2),4,-90,-18
,1,-79,-180
BSAT-2A,1,-90,-46
,1,89,-180
INTELSAT 10 (IS-10),2,-90,39
,1,-41,-180
OMNI-M1,2,-90,-147
,1,-79,-180
USA 159 (DSP 21),5,-90,141
,1,21,-180
INTELSAT 902 (IS-902),4,-90,28
,1,-36,-180
PCSAT (NO-44),3,-90,-108
,1,-11,-180
PROBA-1,4,-90,-115
,1,84,-180
TIMED,4,-90,-145
,1,-20,-180
MAROC-TUBSAT,2,-90,-65
,1,-62,-180
COSMOS 2385,1,-90,-93
,1,-50,-180
COSMOS 2386,2,-90,148
,1,-8,-180
USA 164 (MILSTAR-2 3),4,-90,36
,1,62,-180
INTELSAT 904 (IS-904),4,-90,102
,1,32,-180
AQUA,2,-90,166
,1,-53,-180
DIRECTV 5 (TEMPO 1),5,-90,-134
,1,-64,-180
INTELSAT 905 (IS-905),3,-90,-173
,1,87,-180
GALAXY 3C (G-3C),4,-90,168
,1,82,-180
COSMOS 2390,1,-90,-174
,1,-61,-180
COSMOS 2391,5,-90,-50
,1,-68,-180
INTELSAT 906 (IS-906),4,-90,66
,1,-65,-180
TDRS 10,2,-90,54
,1,-42,-180
LATINSAT B,4,-90,78
,1,76,-180
SAUDISAT 1C (SO-50),3,-90,-111
,1,24,-180
LATINSAT A,4,-90,-110
,1,73,-180
NIMIQ 2,1,-90,-30
,1,58,-180
CORIOLIS,4,-90,121
,1,-20,-180
SORCE,2,-90,58
,1,65,-180
NAVSTAR 51 (USA 166),5,-90,-78
,1,69,-180
USA 167,2,-90,7
,1,52,-180
NAVSTAR 52 (USA 168),4,-90,-91
,1,78,-180
USA 169 (MILSTAR-2 4),5,-90,-121
,1,7,-180
ASIASAT 4,5,-90,64
,1,-22,-180
HELLAS-SAT 2,3,-90,170
,1,15,-180
THURAYA-2,1,-90,6
,1,-58,-180
OPTUS C1,1,-90,-158
,1,-18,-180
MOST,1,-90,-72
,1,-6,-180
CUTE-1 (CO-55),4,-90,-31
,1,36,-180
CUBESAT XI-IV (CO-57),1,-90,50
,1,-49,-180
GALAXY 23 (G-23),3,-90,50
,1,-43,-180
SCISAT 1,1,-90,73
,1,23,-180
COSMOS 2400,3,-90,26
,1,82,-180
COSMOS 2401,1,-90,-103
,1,21,-180
USA 170,1,-90,-133
,1,16,-180
MOZHAYETS 4 (RS-22),3,-90,117
,1,9,-180
LARETS,2,-90,176
,1,-51,-180
GALAXY 13 (HORIZONS-1),1,-90,-37
,1,53,-180
IRS-P6 (RESOURCESAT-1),4,-90,122
,1,28,-180
DMSP 5D-3 F16 (USA 172),1,-90,-133
,1,-49,-180
CHUANGXIN 1 (CX-1),4,-90,81
,1,56,-180
YAMAL 202,3,-90,-157
,1,48,-180
UFO 11 (USA 174),5,-90,-38
,1,24,-180
NAVSTAR 53 (USA 175),2,-90,-179
,1,-33,-180
USA 176 (DSP 22),1,-90,-173
,1,-7,-180
ABS-4 (MOBISAT-1),3,-90,-32
,1,-49,-180
EUTELSAT 7A,1,-90,49
,1,87,-180
NAVSTAR 54 (USA 177),4,-90,-138
,1,46,-180
SHIYAN-1 (SY-1),3,-90,169
,1,-44,-180
AMC-11,3,-90,-11
,1,17,-180
INTELSAT 10-02,5,-90,28
,1,45,-180
NAVSTAR 55 (USA 178),1,-90,41
,1,-82,-180
APRIZESAT 2,2,-90,-172
,1,46,-180
SAUDICOMSAT 1,4,-90,-26
,1,-75,-180
SAUDICOMSAT 2,5,-90,160
,1,65,-180
SAUDISAT 2,2,-90,-143
,1,9,-180
APRIZESAT 1,1,-90,-151
,1,41,-180
AURA,5,-90,-30
,1,85,-180
ANIK F2,3,-90,-47
,1,-14,-180
COSMOS 2407,1,-90,-14
,1,-5,-180
SHIJIAN-6 01A (SJ-6 01A),4,-90,129
,1,-84,-180
SHIJIAN-6 01B (SJ-6 01B),3,-90,77
,1,-57,-180
COSMOS 2408,1,-90,110
,1,-86,-180
COSMOS 2409,2,-90,-114
,1,72,-180
AMC-15,1,-90,125
,1,-59,-180
JB-3 3 (ZY 2C),5,-90,87
,1,39,-180
NAVSTAR 56 (USA 180),1,-90,-111
,1,-70,-180
SWIFT,4,-90,146
,1,-66,-180
NANOSAT-1,4,-90,29
,1,25,-180
COSMOS 2414,2,-90,-137
,1,-72,-180
NSS-10,2,-90,152
,1,-62,-180
XTAR-EUR,2,-90,-106
,1,-70,-180
XM-3 (RHYTHM),5,-90,87
,1,-43,-180
INMARSAT 4-F1,3,-90,125
,1,-57,-180
IRS-P5 (CARTOSAT-1),3,-90,-158
,1,-4,-180
NOAA 18,3,-90,-11
,1,10,-180
DIRECTV 8,1,-90,-37
,1,83,-180
GALAXY 28 (G-28),5,-90,-82
,1,-60,-180
SJ-7,2,-90,-82
,1,-26,-180
THAICOM 4,2,-90,-38
,1,80,-180
REIMEI (INDEX),5,-90,165
,1,-72,-180
ANIK F1R,1,-90,149
,1,-34,-180
NAVSTAR 57 (USA 183),4,-90,120
,1,-51,-180
SYRACUSE 3A,3,-90,-41
,1,57,-180
BEIJING 1,1,-90,161
,1,53,-180
SINAH 1,4,-90,22
,1,89,-180
CUBESAT XI-V,1,-90,-20
,1,-71,-180
INMARSAT 4-F2,3,-90,-82
,1,-58,-180
COSMOS 2416,3,-90,63
,1,38,-180
METEOSAT-9 (MSG-2),2,-90,-35
,1,60,-180
EUTELSAT 174A,2,-90,100
,1,-76,-180
ECHOSTAR 10,1,-90,152
,1,-73,-180
SPAINSAT,3,-90,-67
,1,-82,-180
EUTELSAT HOTBIRD 13E,4,-90,92
,1,-15,-180
JCSAT-5A,4,-90,40
,1,-27,-180
ASTRA 1KR,4,-90,-137
,1,-43,-180
EROS B,2,-90,-50
,1,41,-180
EWS-G1 (GOES 13),5,-90,46
,1,-5,-180
RESURS-DK 1,1,-90,-129
,1,30,-180
GALAXY 16 (G-16),3,-90,170
,1,-68,-180
GENESIS 1,3,-90,-100
,1,87,-180
ARIRANG-2 (KOMPSAT-2),3,-90,-9
,1,33,-180
EUTELSAT HOTBIRD 13B,2,-90,-69
,1,-12,-180
JCSAT-3A,2,-90,-16
,1,-52,-180
SYRACUSE 3B,2,-90,110
,1,82,-180
KOREASAT 5 (MUGUNGWHA 5),5,-90,-23
,1,18,-180
HINODE (SOLAR-B),1,-90,-113
,1,2,-180
NAVSTAR 58 (USA 190),1,-90,75
,1,39,-180
DIRECTV 9S,3,-90,16
,1,87,-180
OPTUS D1,1,-90,120
,1,62,-180
SHIJIAN-6 02A (SJ-6 02A),4,-90,-78
,1,-82,-180
SHIJIAN-6 02B (SJ-6 02B),4,-90,-30
,1,-52,-180
DMSP 5D-3 F17 (USA 191),5,-90,120
,1,24,-180
BADR-4,2,-90,130
,1,16,-180
NAVSTAR 59 (USA 192),4,-90,-60
,1,-87,-180
WILDBLUE-1,3,-90,-127
,1,-62,-180
LAPAN-TUBSAT,2,-90,108
,1,-64,-180
THEMIS A,3,-90,-74
,1,-21,-180
SKYNET 5A,5,-90,48
,1,-9,-180
THEMIS D,5,-90,-49
,1,-25,-180
THEMIS E,4,-90,16
,1,-64,-180
ANIK F3,3,-90,61
,1,82,-180
HAIYANG-1B,4,-90,25
,1,12,-180
SAUDISAT 3,5,-90,148
,1,60,-180
SAUDICOMSAT 7,4,-90,46
,1,68,-180
SAUDICOMSAT 6,4,-90,-162
,1,-17,-180
SAUDICOMSAT 5,1,-90,-9
,1,-76,-180
SAUDICOMSAT 3,3,-90,-129
,1,-58,-180
SAUDICOMSAT 4,5,-90,57
,1,39,-180
ASTRA 1L,5,-90,-139
,1,55,-180
GALAXY 17 (G-17),2,-90,29
,1,-80,-180
YAOGAN-2,5,-90,33
,1,73,-180
GLOBALSTAR M069,3,-90,168
,1,17,-180
GLOBALSTAR M072,2,-90,-85
,1,19,-180
COSMO-SKYMED 1,4,-90,113
,1,-15,-180
TERRASAR-X,2,-90,-85
,1,47,-180
GENESIS 2,2,-90,-25
,1,-9,-180
COSMOS 2428,3,-90,0
,1,11,-180
ZHONGXING-6B,5,-90,125
,1,-26,-180
DIRECTV 10,3,-90,-83
,1,15,-180
WORLDVIEW-1 (WV-1),2,-90,147
,1,60,-180
OPTUS D2,5,-90,146
,1,-27,-180
INTELSAT 11 (IS-11),3,-90,-53
,1,-73,-180
WGS F1 (USA 195),3,-90,-144
,1,65,-180
NAVSTAR 60 (USA 196),3,-90,-144
,1,27,-180
GLOBALSTAR M066,5,-90,81
,1,45,-180
COSMOS 2433 [GLONASS-M],3,-90,123
,1,-84,-180
COSMOS 2432 [GLONASS-M],2,-90,-90
,1,-2,-180
SAR-LUPE 3,4,-90,-138
,1,8,-180
YAOGAN-3,1,-90,-140
,1,78,-180
SKYNET 5B,2,-90,138
,1,-24,-180
ASTRA 4A,4,-90,152
,1,-81,-180
COSMO-SKYMED 2,1,-90,-21
,1,52,-180
RADARSAT-2,1,-90,-146
,1,-61,-180
NAVSTAR 61 (USA 199),4,-90,-160
,1,-72,-180
HORIZONS-2,3,-90,3
,1,85,-180
COSMOS 2434 [GLONASS-M],2,-90,-87
,1,21,-180
COSMOS 2436 [GLONASS-M],4,-90,166
,1,-67,-180
THURAYA-3,5,-90,-151
,1,3,-180
THOR 5,2,-90,-81
,1,-8,-180
AMC-14,2,-90,-41
,1,78,-180
NAVSTAR 62 (USA 201),5,-90,95
,1,-65,-180
DIRECTV 11,5,-90,13
,1,-11,-180
ICO G1,1,-90,-140
,1,79,-180
VINASAT-1,2,-90,-42
,1,-31,-180
STAR ONE C2,4,-90,-99
,1,-55,-180
CARTOSAT-2A,5,-90,-125
,1,28,-180
CUTE-1.7+APD II (CO-65),5,-90,175
,1,-24,-180
CANX-2,4,-90,82
,1,2,-180
SEEDS II (CO-66),1,-90,44
,1,-84,-180
AMOS-3,2,-90,149
,1,30,-180
GALAXY 18 (G-18),2,-90,-180
,1,-81,-180
YUBILEINY (RS-30),3,-90,-141
,1,77,-180
COSMOS 2437,4,-90,-23
,1,-17,-180
COSMOS 2438,5,-90,-125
,1,41,-180
COSMOS 2439,2,-90,-172
,1,75,-180
FENGYUN 3A,5,-90,6
,1,-19,-180
ZHONGXING-9,1,-90,31
,1,-80,-180
FGRST (GLAST),1,-90,-158
,1,60,-180
SKYNET 5C,3,-90,78
,1,72,-180
TURKSAT 3A,1,-90,-62
,1,89,-180
INTELSAT 25 (IS-25),1,-90,-5
,1,22,-180
ECHOSTAR 11,2,-90,43
,1,7,-180
SUPERBIRD-C2,2,-90,28
,1,-47,-180
AMC-21,2,-90,117
,1,26,-180
INMARSAT 4-F3,1,-90,77
,1,77,-180
HUANJING 1A (HJ-1A),5,-90,-116
,1,-7,-180
HUANJING 1B (HJ-1B),1,-90,27
,1,-73,-180
GEOEYE 1,1,-90,151
,1,89,-180
NIMIQ 4,1,-90,-40
,1,53,-180
GALAXY 19 (G-19),3,-90,26
,1,11,-180
THEOS,2,-90,-158
,1,-19,-180
SHIJIAN-6 03A (SJ-6 03A),1,-90,-157
,1,-83,-180
SHIJIAN-6 03B (SJ-6 03B),2,-90,151
,1,87,-180
COSMO-SKYMED 3,5,-90,-118
,1,-88,-180
SHIYAN-3 (SY-3),2,-90,-39
,1,66,-180
CHUANGXIN 1-02 (CX-1-02),4,-90,111
,1,-23,-180
ASTRA 1M,2,-90,146
,1,3,-180
YAOGAN-4,1,-90,-7
,1,-70,-180
EUTELSAT HOTBIRD 13C,4,-90,-147
,1,52,-180
GOSAT (IBUKI),3,-90,19
,1,-74,-180
STARS (KUKAI),3,-90,-149
,1,-19,-180
KKS-1 (KISEKI),1,-90,33
,1,-77,-180
NOAA 19,5,-90,44
,1,-82,-180
EXPRESS-AM44,1,-90,139
,1,-4,-180
NSS-9,4,-90,18
,1,-47,-180
TELSTAR 11N,2,-90,67
,1,8,-180
NAVSTAR 63 (USA 203),4,-90,99
,1,20,-180
WGS F2 (USA 204),4,-90,-64
,1,-8,-180
SES-7 (PROTOSTAR 2),3,-90,100
,1,49,-180
MEASAT-3A,2,-90,-78
,1,-46,-180
GOES 14,2,-90,135
,1,62,-180
FM-5,3,-90,153
,1,-72,-180
TERRESTAR-1,1,-90,148
,1,89,-180
COSMOS 2451,3,-90,172
,1,-75,-180
COSMOS 2453,2,-90,-174
,1,24,-180
DEIMOS-1,4,-90,155
,1,43,-180
DUBAISAT-1,2,-90,73
